VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-02-01 00:01:04,2016-02-01 00:09:01,1,1.58,-73.973312377929688,40.782741546630859,1,N,-73.973686218261719,40.797569274902344,1,8,0.5,0.5,1,0,0.3,10.3
2,2016-02-01 00:01:06,2016-02-01 00:15:30,5,4.15,-73.952629089355469,40.677135467529297,1,N,-73.998786926269531,40.714351654052734,1,15.5,0.5,0.5,3.36,0,0.3,20.16
2,2016-02-01 00:01:15,2016-02-01 00:10:52,5,2.61,-73.987754821777344,40.737983703613281,1,N,-74.011993408203125,40.707279205322266,1,10,0.5,0.5,1.5,0,0.3,12.8
1,2016-02-01 00:01:27,2016-02-01 00:06:13,1,1.80,-74.006622314453125,40.74407958984375,1,N,-73.994644165039062,40.765842437744141,2,7,0.5,0.5,0,0,0.3,8.3
2,2016-02-01 00:01:30,2016-02-01 00:16:40,1,3.18,-73.987655639648438,40.765270233154297,1,N,-73.998435974121094,40.726016998291016,1,13,0.5,0.5,2.86,0,0.3,17.16
2,2016-02-01 00:01:30,2016-02-01 00:09:35,1,1.98,-73.993186950683594,40.741298675537109,1,N,-73.996406555175781,40.721969604492188,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2016-02-01 00:01:31,2016-02-01 00:06:10,1,1.02,-73.977607727050781,40.753826141357422,1,N,-73.9912109375,40.750095367431641,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2016-02-01 00:01:37,2016-02-01 00:23:17,1,5.59,-73.979339599609375,40.752460479736328,1,N,-73.912139892578125,40.773849487304688,1,20,0.5,0.5,4.26,0,0.3,25.56
2,2016-02-01 00:01:42,2016-02-01 00:07:29,1,1.56,-73.961212158203125,40.764690399169922,1,N,-73.982490539550781,40.764991760253906,1,6.5,0.5,0.5,1.5,0,0.3,9.3
2,2016-02-01 00:01:49,2016-02-01 00:04:08,2,.29,-73.996017456054687,40.746910095214844,1,N,-73.99700927734375,40.744888305664062,2,3.5,0.5,0.5,0,0,0.3,4.8
2,2016-02-01 00:01:53,2016-02-01 00:24:54,1,7.21,-74.004508972167969,40.730438232421875,1,N,-73.914657592773438,40.765918731689453,1,22.5,0.5,0.5,5.95,0,0.3,29.75
2,2016-02-01 00:01:58,2016-02-01 00:06:23,1,.79,-73.9970703125,40.732536315917969,1,N,-73.986045837402344,40.726303100585938,1,5,0.5,0.5,0.94,0,0.3,7.24
2,2016-02-01 00:02:00,2016-02-01 00:10:29,1,1.11,-73.9691162109375,40.769630432128906,1,N,-73.964469909667969,40.767318725585938,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2016-02-01 00:02:08,2016-02-01 00:21:39,2,10.70,-73.788902282714844,40.646389007568359,1,N,-73.709320068359375,40.725711822509766,1,30,0.5,0.5,9.39,0,0.3,40.69
2,2016-02-01 00:02:23,2016-02-01 00:15:12,1,3.05,-73.941307067871094,40.787830352783203,1,N,-73.946739196777344,40.819648742675781,1,12,0.5,0.5,2.66,0,0.3,15.96
2,2016-02-01 00:02:29,2016-02-01 00:12:37,1,2.15,-74.003700256347656,40.732418060302734,1,N,-73.980781555175781,40.744869232177734,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2016-02-01 00:02:33,2016-02-01 00:27:03,1,9.52,-73.998497009277344,40.729640960693359,1,N,-73.988037109375,40.621360778808594,2,28.5,0.5,0.5,0,0,0.3,29.8
2,2016-02-01 00:02:43,2016-02-01 00:26:34,1,8.60,-73.998664855957031,40.729736328125,1,N,-73.948585510253906,40.823951721191406,1,27,0.5,0.5,5.66,0,0.3,33.96
2,2016-02-01 00:02:50,2016-02-01 00:14:50,4,3.23,-74.005897521972656,40.731590270996094,1,N,-73.991539001464844,40.76776123046875,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2016-02-01 00:02:59,2016-02-01 00:13:04,1,2.80,-73.993011474609375,40.734809875488281,1,N,-73.991783142089844,40.764480590820312,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2016-02-01 00:03:05,2016-02-01 00:13:57,6,2.52,-73.973442077636719,40.754547119140625,1,N,-74.004264831542969,40.742225646972656,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2016-02-01 00:03:17,2016-02-01 00:15:34,1,3.56,-73.973030090332031,40.761123657226563,1,N,-73.914588928222656,40.754913330078125,2,13,0.5,0.5,0,0,0.3,14.3
2,2016-02-01 00:03:34,2016-02-01 00:25:06,5,12.48,-73.971260070800781,40.757469177246094,1,N,-74.024337768554688,40.632499694824219,2,35,0.5,0.5,0,0,0.3,36.3
2,2016-02-01 00:03:40,2016-02-01 00:33:11,1,18.81,-73.777023315429687,40.645000457763672,2,N,-73.988578796386719,40.725780487060547,1,52,0,0.5,11.67,5.54,0.3,70.01
